TIC,Tmag,KIC,numax
123414051,12.0834,10253921,50.22
123411370,11.0709,8475025,112.63
123413630,10.4722,9992544,28.11
123411628,9.0536,8669014,28.62
123410636,9.0942,8007217,94.05
123409797,12.0953,7502157,65.83
123410542,12.2332,8007218,189.1
123408869,12.2167,6837573,135.17
48031775,12.0783,11013005,66.99
123414009,10.9526,10254023,22.7
123408626,10.6717,6665526,205.63
123414088,10.7803,10254051,30.41
123413006,11.1691,9569462,28.12
336403421,9.1389,6497663,245.0
351803777,12.02,8076215,160.48
48031031,11.8981,10777098,41.96
351802636,12.209,7257193,15.93
351897591,11.4433,9692063,55.03
351802006,11.765,6752140,60.09
351803064,11.0786,7584122,253.52
351802500,8.3722,7175316,43.3
351803878,11.1377,8144529,39.67
351801798,10.6454,6580435,30.97
351898076,10.5855,10055061,15.72
351803673,10.9946,8007458,67.1
351801791,11.1991,6580479,34.77
351804567,10.3994,8669282,39.86
351803404,10.4273,7800848,57.81
351804200,12.3042,8410437,59.54
351803384,11.909,7800907,36.01
351805568,12.3268,9385935,29.14
351897360,10.9221,9508346,12.26
351804188,12.3451,8345290,29.86
351802207,8.7885,6923677,60.62
351897631,9.9321,9692226,27.81
48092340,10.0134,10842958,31.74
351805569,11.5769,9385972,107.42
351804024,11.3766,8278906,31.6
351804648,11.5035,8733649,146.69
351898075,11.6536,9992999,32.14
351898467,10.8485,10320170,24.56
351898092,10.12,10055196,104.95
351804812,11.3435,8863673,43.91
351897761,11.2008,9813102,30.32
351804194,11.4227,8410529,31.07
123446171,12.2007,10515651,158.69
123417001,11.1265,8212479,20.48
123444578,11.9366,9508395,10.88
123418034,11.3232,8798584,57.74
123445177,9.8139,9873116,7.33
123445203,11.71,9873127,201.46
123416274,11.5969,7732065,12.38
123415908,11.6931,7502686,228.27
123415699,10.2518,7337994,28.67
48092066,12.4483,11013433,153.28
123417448,10.94,8475511,13.03
123415276,11.726,7009245,106.92
48092514,11.0092,10711145,33.36
123445619,12.3361,10120503,32.88
48092535,10.8054,10711154,46.05
123414758,8.9368,6666011,38.49
123417586,11.6346,8540034,193.5
48092092,11.6684,11013471,52.03
123417226,11.1818,8345473,31.7
123415658,10.7884,7257673,16.28
123445243,11.8552,9933717,23.32
123445638,12.1578,10188141,35.95
123415256,11.3093,7009365,210.52
123445238,11.5279,9933754,33.59
123416409,11.0459,7801167,30.9
390129033,11.2895,6099789,165.74
123415465,10.2138,7175826,73.83
123416304,9.7161,7732255,61.92
123415344,10.1214,7093179,30.62
123444915,11.8341,9692431,83.21
123444577,11.4353,9508595,27.31
123417891,8.8257,8733892,5.24
123416866,12.3819,8144907,208.2
123417354,9.5702,8410818,43.21
48131818,11.6242,10903874,183.72
123416271,9.4615,7732300,14.56
123416445,12.3619,7870429,148.72
123415555,12.2268,7257814,30.57
123451887,10.7834,6838375,181.43
123447580,11.797,9753097,73.07
123451745,12.2782,6924105,102.87
123447059,11.7322,10120707,36.04
123450687,10.642,7732335,82.1
123449999,10.7986,8144991,34.49
123451835,10.7542,6838420,30.27
123449645,11.8003,8410890,35.64
123447679,10.7594,9692529,63.47
123449931,10.872,8212786,19.75
