    0.619082545048827114E+03    0.860350697933859010E+01   -0.249653151356300773E+01    0.397786839224620735E+03    0.216403994432554987E-03   -0.511038986748501338E+04
    0.618209831984545190E+03    0.858309775573960287E+01   -0.247952537113296323E+01    0.411351230077899913E+03    0.405348250095527614E-02   -0.510854815760140991E+04
    0.617815828977297656E+03    0.859443285118506850E+01   -0.252874754870698659E+01    0.403815869462077899E+03    0.864134027318444117E-02   -0.510766386038448400E+04
    0.617084229461957307E+03    0.858883086403454499E+01   -0.254393469405689654E+01    0.408960896313967851E+03    0.551784695343200595E-02   -0.510682632326854400E+04
    0.617442074372537377E+03    0.858730884107373882E+01   -0.251687731184506713E+01    0.408864230545101520E+03    0.700129381974710918E-02   -0.510648997239371329E+04
    0.617965439790283540E+03    0.858249186453965152E+01   -0.248933057089545429E+01    0.412649399316082963E+03    0.108366561305348855E-02   -0.510583878248570545E+04
    0.616075750849918450E+03    0.860228720795526414E+01   -0.264023020165678668E+01    0.404423012386383846E+03    0.548209863429007568E-02   -0.510541626753124274E+04
    0.615114688821021787E+03    0.858710582037870118E+01   -0.264139559995186257E+01    0.414167043050883137E+03    0.242384441994211112E-02   -0.510524725897983444E+04
    0.615703286207148494E+03    0.858872220984548562E+01   -0.260136539347919804E+01    0.411674618277103889E+03    0.212671815225868839E-02   -0.510518940692190063E+04
    0.615288541909529499E+03    0.859515589186910667E+01   -0.266767523356348590E+01    0.410260651109161529E+03    0.362153775092214020E-02   -0.510477051366528212E+04
    0.618737079292404474E+03    0.861153567132356734E+01   -0.252928196843010999E+01    0.394624673532277598E+03    0.341288923670932456E-02   -0.510444498184142049E+04
    0.618410175381846443E+03    0.859620940048083959E+01   -0.249857345906835437E+01    0.402124736290020508E+03    0.353550025525168178E-02   -0.510421388522520465E+04
    0.617133093088852092E+03    0.859096681934095940E+01   -0.252228860386640719E+01    0.407029267169448076E+03    0.253860481992226840E-02   -0.510420340246575779E+04
    0.618656074165107043E+03    0.859666651693094153E+01   -0.247245263962635731E+01    0.401396846109715170E+03    0.126165204495077036E-02   -0.510417338781401850E+04
    0.616999478744154658E+03    0.859669894846675042E+01   -0.257361895477226632E+01    0.404841994148748597E+03    0.625261610265926814E-02   -0.510404686942115950E+04
    0.614659885913301082E+03    0.859026986617971744E+01   -0.265704960665746848E+01    0.413045025365627055E+03    0.441400355080110167E-03   -0.510399532132275817E+04
    0.618034463740074898E+03    0.860022069612202955E+01   -0.254991298908925845E+01    0.401932745533426896E+03    0.191482987866351895E-02   -0.510398694496923781E+04
    0.617121509673599576E+03    0.860259973205609896E+01   -0.257190662833059402E+01    0.401059215215166660E+03    0.569570789993083249E-02   -0.510375188028621869E+04
    0.616904508856178836E+03    0.860183413069034231E+01   -0.257550467350594570E+01    0.401559969267201666E+03    0.603432264793075327E-02   -0.510353642078508437E+04
    0.617337482297279280E+03    0.859230338323727239E+01   -0.255188070805697720E+01    0.407333734895602504E+03    0.359584460078500546E-02   -0.510352874752142725E+04
    0.614877765943508052E+03    0.859989363156669917E+01   -0.269495008312607043E+01    0.407824244249855099E+03    0.596818675385196382E-02   -0.510346381273349107E+04
    0.614757701034146862E+03    0.859714271944458730E+01   -0.267283151650475137E+01    0.409373352067341671E+03    0.142998349683942476E-02   -0.510344786365253094E+04
    0.615588820335241735E+03    0.858868637832925330E+01   -0.260933672394962279E+01    0.412309870589076240E+03    0.540352156366211232E-03   -0.510343286332299704E+04
    0.616776168173582732E+03    0.859528586917747717E+01   -0.255883510597310471E+01    0.405575087259205304E+03    0.345495574723518216E-02   -0.510334884725951815E+04
    0.617860675869536749E+03    0.859805320163880715E+01   -0.252693439997058089E+01    0.401694485422388084E+03    0.599172341779646497E-02   -0.510333638260536645E+04
    0.616740454421334903E+03    0.860053569644714422E+01   -0.261251557137316093E+01    0.404490390078756548E+03    0.301844077036992568E-02   -0.510328379469181982E+04
    0.618574572985101554E+03    0.860289927231073648E+01   -0.249148436137524243E+01    0.397684661578026578E+03    0.390083839981676585E-02   -0.510319665381734103E+04
    0.616051966550937550E+03    0.860021128120494183E+01   -0.261170994841837079E+01    0.404105267939061150E+03    0.623067321207969923E-02   -0.510314962478830239E+04
    0.613635088510795754E+03    0.859286823060087634E+01   -0.270956844198773217E+01    0.412982623053233510E+03    0.151696010584256283E-03   -0.510314809999780300E+04
    0.617193315679675720E+03    0.860664988501192241E+01   -0.258604396324415653E+01    0.399262748600937584E+03    0.888839457345065934E-02   -0.510304892819179713E+04
    0.616812049937999973E+03    0.860626128868971030E+01   -0.258248480985108841E+01    0.400508452055655937E+03    0.203646575779325122E-02   -0.510304160531389243E+04
    0.614017281299230035E+03    0.859380268192574270E+01   -0.271664951555648093E+01    0.412500560107673664E+03    0.342330101225076476E-02   -0.510303707672503333E+04
